id,text,label,Unnamed: 3
74687,People communicate positive emotions at weddings or engagements and negative emotions at funerals.,"Nkorɔfo da ndzeyɛɛ papa edzi wɔ ayefor anaa awargye ase,  na wɔda ndzeyɛɛ bɔn edzi wɔ eyi ase.",
74566,Not every place in the country is suitable for construction of the borehole.,Nnyɛ beebiara na ɔsɛ fata dɛ wotu bura wɔ ɔman yi mu.,
94793,"Avoid alcohol, stretch your arms often, take care not to gain weight, take time to sleep to relax, that is, to sleep well.","Kwetsir nsã, tsen wo nsa mpɛn pii, hwɛ yie na wo mu dur ankɔ sor, gye ber fa da na gye w’ahom, Na iyiara nye, dɛ da yie.",
95315,"He said this, when he went to visit the Manso Datano in the Amansie South District in the Ashanti region, he saw that they have destroyed large plots of land and was unpleasant.","Ɔkaa dɛm wɔ ber a ɔkɛseraa Manso Datano a ɔwɔ Amansie South mansin mu wɔ Esuantse mantɔw mu, ohun dɛ wɔasɛɛ nsaase akɛse no na n'enyi anngye ho.",
74845,School labs need to be fully equipped to handle Chemistry lessons.,Otwar dɛ wɔhyehyɛ skuul nhwehwɛmuyɛmbea hɔ ama Chemistry adzesua eetum akɔ do wɔ hɔ.,
95123,"The business man continued that if he had helped with good sanitation in the United Kingdom through his works, some professors in building in UK added that, they had use his company in a competition with the UK government and won because of how quality his products are.","Oguadzinyi banyin no toa do dɛ sɛ ɔaboa ma ahosiesie papa aba United Kingdom ɔnam ne ndwuma ntsi, dansi ho abemfo binom a wɔwɔ UK dze kaa ho dɛ, wɔdze n'edwumakuw no esi akan wɔ UK aban mu na woedzi nkonyim ɔnam ne ndwuma pa ntsi.",
75516,The industrial park will be located at a strategic point in the region.,Wɔdze edwumakuw ne prama no besi beebi a oye wɔ mantɔw no mu,
74856,Sensitization is key in curbing the spread of coronavirus in Ghana.,Dawurbɔ yɛ adzetsitsir a ɔboa tsew COVID-19 ne ntserɛwee do wɔ Ghana.,
74698,People form cooperatives to do something better they couldn't do individually.,Nkorɔfo ka hɔn bɔmu yɛ biribi papa a ankorankor nntum nnyɛ.,
94821,"""The old gentleman was just going to say that Oliver should not go out on any account; when a most malicious cough from Mr. Grimwig determined him that he should; and that, by his prompt discharge of the commission, he should prove to him the injustice of his suspicions: on this head at least: at once.""","""Nna ɔpanyin nyimdzefo no rebɔkã kɛkɛ dɛ ɔnsɛ dɛ Oliver fi edzi wɔ biribiara ho; ber a ɔfe a ɔyɛ hu sen biara a efi Owura Grimwig hɔ sii no gyinae dɛ ɔwɔ dɛ ɔyɛ dɛm; na ɔnam, dza ogyaee edwuma no ntsɛm do no, ɔwɔ dɛ ɔda no edzi kyerɛ no."" n'adwen mu naayɛ a ɔntse: wɔ dɛm tsi yi do ɔnnyɛ yie koraa no: prɛko pɛ.""",
74889,She reasonably negotiated the terms of the contract so as to ensure a fair agreement.,,
74414,Media houses are so helpful in passing on information concerning the pandemic.,Nsɛm ho dawurbɔ fie ahorow boa kɛse wɔ nsɛm a ɔfa ɔyardɔm no ho a wɔdze ma mu.,
96539,One of the important roles of a Queenmother is to oversee and ensure the smooth running of the menarche ritual.,Dwumason kor a ɔbaahembaa dzi nye dɛ ɔhwɛ ma wɔyɛ brayɛ a odzi kan no ho atɔrmuadze ma ɔkɔ yie.,
74273,Let us keep the togetherness at all costs.,Hom mma yɛmfa nkabom nkɔdo aber nyina.,
95838,"However, that is not the only Kente-weaving town in the Ashanti Region; Adanwomase is also a Kente-weaving town in the region.","Mbom, nnyɛ hɔ nko nye kentewen bea wɔ Esuantse mantɔw mu. Adanwomase so yɛ bea aw ɔwen kente wɔ wɔ mantɔw no mu",
74105,"Establish policies to support women’s abilities to breastfeed, to reach their breastfeeding goals once they return to their communities and worksites, and thus achieve full health benefits of breastfeeding for their babies and themselves.","Fa nhyehyɛɛ gu akwan mu a ɔbɔboa mbasiafo ma woetum ama hɔn mbofra enumfonsu, dɛ mbrɛ ɔbɛyɛ a wotum eedu hɔn enumfo mmae botae no ho sɛ wɔkɔ hɔn nkuraase na edwumayɛbea a, ama wɔnam do dze eenya enumfonsu ho apɔwmudzen a mbofra na awofo nya no nyina bi.",
96456,"The relevance of the elephant skin is to show the teenage girl going through the puberty rites that, just as the meat is hard, that's how strong she should equally be in life.","Sonwer no no ho mfaso wɔ bragor mu nye dɛ, ɔkyerɛ ababaawa no dɛ, mbrɛ son ne nam yɛ dzen no, dɛm na otwar dɛ no ho yɛ dzen wɔ abrabɔ mu.",
74258,Laws passed in 1959 and 1960 designated special positions in parliament to be held by women. Some women were promoted to the CPP Central Committee,Mbra ahorow a wɔhyɛɛ wɔ afe 1959 na 1960 mu no kyerɛɛ dzibew tsitsir wɔ mbrahyɛbagua mu a mbea na wodzi. Wɔmaa mbea binom dzibew kɔɔ CPP Finimfin Boakyikuw no mu:,
75734,"The Protestant nations in Western Europe, including Britain, had a vigorous evangelical element in the 19th century that felt their nations had a duty to ""civilize"" what they saw as slaves, sinners, and savages.","Etuatsew aman a wɔwɔ Europe Atɔree afamu a Britain ka ho no yɛ nsɛmpaka ndzɛmba pii wɔ mfeha duakron no mu a ɔmaa hɔn aman no hun dɛ ɔyɛ hɔn asɛdze dɛ wɔdze enyibuei ma dza nna wohu dɛ nkowaa, adzebɔnyɛfo na ewudzifo no.",
74165,His rude comments offended everyone in the room and caused tension and discomfort.,Nsɛm a obuae a ɔnyɛ anyibersɛm no hyɛɛ obiara a ɔwɔ dan no mu ebufuw na ɔdze nhyɛdo na ɔhaw bae.,
96614,1. Storytelling: This is a type of game that can be play by both old and young. This type of game is mostly play in the evening when the full moon is visible,1. Kodzima: iyi yɛ agor bi a mpanyimfo na mboframba nyiotum dzi. Wɔtaa dzi dɛm agor yi wɔ anadwe ber a ɔseran no epue.,
96638,11. Amuamuani: Females and males can play this game. It can be play in the afternoon and in the evening,11. Emuamuaenyi: Mbaa na mbanyin tum dzi dɛm agor yi. Wotum dzi no ewiaber na ewimbir.,
75527,The Junior Africa Golf Challenge hosted in South Africa was won by Keisha Witshire.,Keisha Witshire na odzi konyim wɔ mbofra Golf agansi no a ɔkɔr do wɔ South Afrika no mu,
94287,The following five things are some of the things we do after a meal that don't help the body.,Ndzɛmba enum a ɔka do yi nye ndzɛmba a yɛyɛ no wɔ aber a yeedzidzi ewie a ɔmmboa nyimpadua no.,
95357,A heavy rain with earthquake and thunder fell and collapsed their place of gathering.,Nsu kɛse a asaasewosow na agradaa ka ho tɔree na obubuu bea a wohyia no.,
96087,Other symbols are also used to warn people not to approach the location.,Wɔdze nsɛnkyerɛdze afofor so bɔ nkorɔfo kɔkɔ dɛ mma wɔmmbɛn bea no.,
96738,"Others from the Minority side include Tongu North Member of Parliament Samuel Okudzeto Ablakwa, Klottey-Korle Member of Parliament, Dr. Zenator Agyeman-Rawlings and Akatsi South Member of Parliament, Bernard Ahiafor.","Binom so a wofi dɔm-kumaa no afa nye Tongu-Etsifi do Mbrahyɛbaguanyi, Samuel Okudzeto Ablakwa, Klottey-Korle Mbrahyɛbaguanyi, Okunyin Zenator Agyeman-Rawlings na Akatsi Atɔree Mbrahyɛbaguanyi, Bernard Ahiafor.",
75871,"The village leader offered land for the construction of the school, contributing to educational infrastructure development.","Ekuraase baanodzinyi no maa asaase dɛ wɔmfa nsi skuul, a ɔdze roboa nwomasua mu adansi mu mpontu.",
95371,Take food as your medicine so that you live long.,Fa edziban dɛ w'edur ama eenyin akyɛr.,
95893,"As the solid waste stays in the large intestines without coming out, the liquid gets absorbed from it.","Sɛ fi no gyina nson akɛse no mu kyɛr na ommpue a, nsu no a ɔwɔ mu no twe fi mu",
73801,A good number of people have recovered from the coronavirus proving that we have a strong health sector,Nyimpa beberee noara ho atɔ hɔn efi Corona nsanyarba no ho iyi kyerɛ dɛ yɛwɔ apɔwmudzenhwɛfo kuw mapa.,
73837,A politician is free to belong to any political party.,Ɔmanyɛnyi biara wɔ fahodzi dɛ ɔdze noho hyɛ amanyɛkuw biara mu.,
74610,One hundred fifty orphans have been given scholarships in the district and they also received scholastic materials and school requirements.,Wɔama egyankamba ɔha na eduonum nwomasua mu sikamboa na wɔsan nyaa ndzɛmba ahorow a no hia wɔ skuul mu kaa ho.,
95678,"There were a lot of people with different professions, like security officer, soldier, tailor, teacher, typist, usher, waiter, welder, shopkeeper, nurse, psychologist, mathematician, trader, musician, flight instructor, researcher, and examiner at the auditions","Nna nyimpa pii wɔ hɔ a ɔson hɔn edwuma, tse dɛ ahobambɔ ho panyin, sodaanyi, adzepamnyi, kyerɛkyerɛnyi, typist, usher, waiter, ɔdwimfo, sotɔɔ wura, nɛɛsenyi, adwen ho nyimdzeenyi, nkontaabunyi, oguadzinyi, ndwontonyi, wimhyɛn kyerɛkyerɛfo, nhwehwɛmunyi, na nhwehwɛmunyi.",
95545,"Some of the gunmen were deliberately sent to Manso to inform Nana Ameyaw that Bafo Pem and his army were coming to the funeral, so he and his elders should sit under the funeral.",Wɔhyɛɛ da ara somaa iturtowfo binom kɔr Manso dɛ wɔnkɔbɔ Nana Ameyaw amandzɛɛ dɛ nna Bamfo Pem na no nsordaafo reba eyi no ase ntsi ɔno na ne mpanyimfo ntsena eyi no ase.,
96407,Snails are one of the meats that our ancestors used to eat in ancient times,Nwaba yɛ nam a nna hɛn nananom dzi no no mu kor.,
94933,"If she bites her teeth, the Akans believed that she would not have children because the egg is inserted into the womb of the sakyima to enable her to have children.","Sɛ ɔka nye sẽ a, na Akanfo no gyedzi dɛ ɔnnwo mba osiandɛ wɔdze kyirefua no hyɛ sakyima awotoa mu na ama w'etum awo mba.",
94431,"The Citizenship Act of 1951 and its 1967 regulations set out the rights and entitlements of citizens, including the right to social security.","Citizenship Act wɔ 1951 na ne 1967 mbra ahorow  ma aman mbra hokwan bi, no mu bi nye asetenam bambɔ.",good
96387,The stomach is one of the most common organs of the body.,Yafun no nye nyimpadua no mu akwaa a ɔnyɛ na no mu kor.,
96400,This tax will be applied to some large industries such as coal and gas companies and mining companies; The goal is for the country’s economy to stand on its own feet.,Tow yi bɔkɔ ama ndwumakuw akɛse binom tse dɛ famubiriw na gyamframa ndwumakuw; botae no nye dɛ ɔman no ne sikasɛm begyina ne nan do.,
76223,"When suffering knocks at your door and you say there is no seat for him, he tells you not to worry because he has brought his own stool.","Sɛ ɔhaw bɔ wo pon mu mpɛn pii na eka kyerɛ no dɛ egua nnyi hɔ ma no a, ɔka kyerɛ wo dɛ mma nnhaw wo ho osiandɛ ɔdze noara n'egua nam.",
94618,"He explained that as Monday, the 4th of Ahinime in 2022 was an edwa day, his wife brought their only daughter, Akua Ago to Asankragua to do business.","Ɔkyerɛkyerɛmdɛ dɛ Dwoda, 4th Ahinime, 2022 yɛ egua da, ne yer dze hɔn ba baa kor pɛ kɔe, Akuapem Ago kɔ Asankragua kedzi gua.","Ɔkyerɛkyerɛ mu dɛ dɛ Dwowda, 4, Fankwa, 2022 yɛ egua da, ne yer dze hɔn ba baa kor pɛ kɔe, Akuapem Ago kɔ Asankragua kedzi gua."
74916,"Skill yourself for a future job, encouraging the acquisition and development of skills for future employment.","Tsetse woho ma daakye edwuma, erehye nkuran wɔ ntsetsee ne nyae na mpontu ho ma daakye edwuma.",
94850,"For this reason, they made a confrontation with Denkyirafo.","Iyi ntsi, wɔ nye Denkyirafo yɛɛ akasakasa.",
74875,She is a wise and capable leader for this country.,Ɔyɛ ɔman yi ne kandzinyi nyansanyi a oyim dze.,
73940,An agreement was signed for regional development .,Wɔdze nsa ahyɛ ntseasee nkrataa ase ama mantɔw mu mpontu ho.,
75442,"The girls live with their mother, who is a very hardworking farmer.",Mbasiafo no nye hɔn maame a ɔpɛ edwumayɛ no tse,
94342,"As they continue their education, the gap between these two groups of children continues to widen as those from rural areas and poor parents attend school to the point where it is left to those from urban areas in adults the number of their parents who are successful doubles.","Dɛ wotua hɔn nwomasua do, kwan a ɔda dɛm ekuw ebien yi mu kɔdɔ yɛ kɛse tsedɛ hɔn a wɔwɔ akuraase na hɔn awowfo yɛ ahiafo kɔ skuul kapem beebi na wogyae ma hɔn a wɔwɔ kurow kɛse mu a hɔn awowfo yɛ adzefo.","Dɛ wotoa hɔn nwomasua do, kwan a ɔda dɛm ekuw ebien yi mu kɔ do yɛ kɛse tse dɛ hɔn a wɔwɔ ekuraase na hɔn awofo yɛ ehiafo kɔ skuul kɛpem beebi na wogyaa ma hɔn a wɔwɔ kurow kɛse mu a hɔn awofo yɛ adzefo."
76149,"Violence is the use of physical force so as to injure, abuse, damage, or destroy.","Basabasayɛ nye dɛ enam honam mu ahoɔdzen do dze epira, atseetsee, asɛɛ adze, anaa asɛɛ biribi/obi.",
96167,"Instead, he found time for his family and focused on his work as a lawyer. In 1992, he wrote a book about Ghanaian businessman George Grant. In 1977, he was awarded the most prestigious award in Ghana.","Mbom no, onyaa ber maa n'ebusua na ɔmaa n'adwen kɔr n'edwuma do dɛ mbranyimfo. Afe 1992 mu no, ɔkyerɛɛw buukuu faa Ghana eguadzinyi George Grant ho. Afe 1977 mu no, wɔmaa abawdobɔdze a ɔkrɔn koraa wɔ Ghana mu.",
96029,"They use these plants because they take a long time to completely disappear from a piece of land, if they do at all.",Wɔdze dɛm eduaba yi yɛ osiandɛ wɔkyɛr ansaana obowu a ewu koraa,
95634,"I believe there is so many things going on in your mind, but don't worry.","Megye dzi dɛ ndzɛmba pii rokɔ do wɔ w'adwen mu, naaso mma nnhaw woho.",
73795,A fence will be built around the staff quarters for security.,Wɔbɔtow ɔfasu dze etwa bea a edwumayɛfo tse noho dze abɔ ho ban.,
94405,"It can be overwhelming in some places but in other places, you will see it is not there at all.",Otum budo paa wɔ mbea bea bi nanso binom dzi nhu bi koraa.,good
95112,"In all this, Kotoko was able to win the match.","Iyi nyina ekyir no, kotoko bɔɔ mbɔndzen dzii nkonyim wɔ akansi no mu.",
75987,There was a saying; men who are circumcised can't get viral infections.,Nna wɔka dɛ; mbanyin a woetwa hɔn twatsia no runntum nnya nsan yarba a mbowa nketsenketse dze ba.,
95454,"The elders says, the one who has help you in life you shoud not downgrade the person.","Mpanyimfo dɛ, nyia ɔaboa wo wɔ abrabɔ mu no, onnyi dɛ etoto no famu.",
96496,This initiative would enable young people to make the most of their time each day by engaging in productive and skill-building activities.,Dɛm nhyehyɛɛ yi bɔboa mbabun ma da biara woeedzi hɔn mber yi ber a wɔdze hɔnho rehyɛ dwuma pa na ndzeyɛɛ a obotum hɔn nyimdzee mpon.,
75679,"The period of Nkrumah's active political involvement has been described as the ""golden age of high pan-African ambitions""; the continent had experienced rising nationalist movements and decolonization by most European colonial powers, and historians have noted that ""the narrative of rebirth and solidarity had gained momentum within the pan-Africanist movement"".","Ber a nna Nkrumah dzi akotsen wɔ amanyɛsɛm mu no yɛ ber a wɔkyerɛ dɛ ɔyɛ ""Ebibiman Anamɔntukuw Kɛse no ne pɛdzen ne sika mfe"" a asaasepɔn no hun amandɔ anamɔntu no sorkɔ na Aborɔkyir nhyɛdo amambu tum no ntui, na abakɔsɛm akyerɛwfo kyerɛ dɛ awoo fofor na botae nkabɔmu gye ntsin wɔ Ebibirmu amandɔfo anamɔntu no mu.",
73856,A woman was convicted for illegal possession of meat.,Wobuaa basia bi a ɔammfa kwan pa do ennya bɔgyanam no fɔ.,
73999,Be careful with the person you leave your child with!,Yɛ ahwɛyie wɔ nyimpa a edze wo ba gyaa no ho.,
74068,Children are able to relate to the real world experience.,Mbofra tum nye wiadze suahu ankasa dzi nkitaho.,
74773,Portuguese Catholic missionaries arrived on the coast in the fifteenth century.,Portugal Katolek asɛmpatserɛwfo no bodur mpoano wɔ afeha ɔtɔ do duebum no mu.,Portugal Katolek asɛmpatserɛwfo no bodur mpoano wɔ afeha a ɔtɔ do duenum no mu.
75910,There are a few male teachers in early childhood educational centers.,Mbanyin akyerɛkyerɛfo kakraabi na wɔwɔ mbofra ahyɛse nwomasua asoɛe hɔ.,
74483,More agriculturalists will get exposure through this exhibition.,Ekuadwuma ho abenfo pii benya nsɛm a wɔbɔdza no edzi de wɔ ɔyɛkyerɛ yi do.,
94573,"Great credit goes to the police and our security agencies, for caring for us, and working day and night to protect us, and prevent crime.","Ndaase kɛse nkɔma polisifo na banbɔ edwumakuw,dɛ wɔ hwɛhɛndo na wɔyɛ edwuma adzekyee na adze saa dɛ wɔbɔbɔ hɛnho ban efi ewudzi ho.",good
94299,"This is because diarrhea affects the blood flow around the stomach to other organs of the body, and then prevents the digestion of food.","Iyi ne siantsir nye dɛ ayamutue nya nsunsuando wɔ bɔgya n’akɔnabadzi wɔ yafun no mu no do na ɔtsen kɔ nyimpadua mfafakuwa ahorow no do, na iyi osiw edziban ne nyamee no kwan.",
95524,"The kingshisp came to reach a certain person called Nana Ameyaw Gyare, and he also passed it to his younger brother, Nana Kwaakye Ameyaw the 1ST.","Adzedzi no dur obi a wɔfrɛ no Nana Ameyaw Gyare do, nna ɔno so dze maa ne nuabanyin kakraba, Nana Kwaakye Ameyaw a odzi kan.",
95093,"Due to this, they locked up the radio station and also banned Mr Odike from the Ashanti town.","Ɔnam iyi ntsi, wɔtoo radio stehyen no mu na wosiiw Owura Odike kwan wɔ Esuantseman mu.",
94953,"This time, there was some mining ongoing at that place.","Dɛm ber yi, na wɔretu fam egudze bi wɔ dɛm bea no.",
95955,"In addition to these methods of communication, people also exhibit specific behaviors in their daily lives that communicate with others.","Yɛdze bi reka dɛm kwan a yɛfa do nya nkitsaho do no, nkorɔfo da ndzeyɛɛ bi edzi wɔ hɔn daadaa a brabɔ mu a ɔkasa kyerɛ nkorɔfo",
75387,The fellowship will happen at the Source of the Tano river which forms the border between Ghana and Côte d'Ivoire,Nhyiamudze no bɔkɔ do wɔ Nsu Tano n’ano a ɔyɛ hye a ɔda Ghana na Côte d’lvoire ntamu,
94796,"It is also important to watch your diet, Keep fruits and vegetables, (especially the green ones) in your diet.","Ɔho hia nso dɛ wohwɛ w’edziban, Fa eduaba na nhaban sie, (nkanka dza ɔyɛ ahabambono) wɔ w’edziban mu.",
75185,The climax of the festival involves a durbar of the chiefs and people of Anlo.,Afahyɛ no n'ewiei no ahemfo na Anlo nkorɔfo bagua ka ho.,
74535,My advice to you is that you should always study diligently to prepare for any upcoming exam.,M'afotu a medze ma wo nye dɛ ebesi kete dɛ esua adze ber nyina ama esiesie wo ho ama nsɔhwɛ biara ɔreba no ho.,
74427,Members of parliament should cooperate with district leaders.,Ɔwɔ dɛ mbrahyɛbaguafo na mansin baanodzifo yɛ kor.,
96569,The public applauded the Parliamentarians for their courage and boldness in taking necessary steps to address the financial challenges facing the country.,Amamfo no bɔe gyee Mbrahyɛbaguafo no do wɔ akokodur na enyiɔdzen a wɔdze tuu anamɔn a ɔfata faa sikasɛm ho haw no ho wɔ ɔman yi mu.,
95621,"Readers and listeners who have reach marriage stage, please this be important to you.","Akenkamfo na etsiefo a woedur awar ber mu no, meserɛ iyi ho hia ma hom.",
95925,"There is an English adage that goes, 'Actions speak louder than words'. Communicational symbols are primarily used at home and in the wilderness.","Wɔka asɛm bi wɔ brofo kasa mu dɛ, ‘ndzeyɛɛ kasa dzendzendzenn kyɛn nsɛm’. Wɔtaa dze nsɛnkyerɛndze a ɔkasa dzi dwuma wɔ fie na haban mu",
74240,It's the Bishop's responsibility to appoint new leaders for various churches.,Ɔyɛ Sɔfopɔn no n’asodzii dɛ ɔyi baanodzifo fofor ma asɔre ahorow.,
73929,Am waiting for blood culture test results from the laboratory.,Morotweɔn bɔgya nhwehwɛmu no ho nsunsuando efi nhwehwɛmubea hɔ.,
75067,Swindle is to get money dishonestly from someone by cheating or deceiving them.,Epoobɔ nye dɛ ibenya sika ɔtor mu fi obi hɔ dɛ risisi anaa redaadaa hɔn.,
74269,"Let the men do the singing, and the women do the dancing.","Ma mbanyin ntow ndwom, na mbaa nso nyɛ asaw.",
96512,"""But it should be noted that President Mills contributed about 21%, John Dramani Mahama contributed 28.6%, and Nana Akufo-Addo contributed 78.6% to the increase in Supreme Court judges from 11 to 14. This raises concerns about whether he is mindful of the financial implications on the public purse"".","""Mbom otwar dɛ yɛhyɛ no nsew dɛ Ɔmampanyin Mills faa bɛyɛ 21%, John Dramani Mahama faa bɛyɛ 28.6% na Nana Akuffo-Addo faa bɛyɛ 78.6% dze kaa Asɛndzibea-Baatan mu Atsɛmbuafo no sor nkɔree no ho ma ofii 11 kodur 14. Iyi dze ɔhaw aba dɛ ɔdwen sikasɛm ho haw a obotum aba ɔman no no foto mu ho.",
94712,"Overseers who lie down with the teams pay their knees in the Nkan and Joy Business after being in China said, he said that Grath would not be slipped away in this project, in this project, in this activity, this project, and take all necessary steps to ensure the sustainability of the VAT subsidiaries.","Ahwɛfo a wɔnye ekuw no da hɔ no tua hɔn nkotodwe wɔ Nkan na Enyigye Edwumayɛ (Joy Business) mu ber a ɔakɔ China ekyi no kãa dɛ, ɔkãa dɛ wɔnhweer Grath wɔ dɛm edwuma yi mu, wɔ dɛm adwuma yi mu, wɔ dɛm dwumadzi yi mu, wɔ dɛm edwuma yi mu, na ɔnyɛ anamɔn a ɔhia nyina dze hwɛ dɛ VAT ndwumakuw nketewa no bɔkɔ do atsena hɔ daa.",good#seems there are errors in these sentences if not I've suggested two translations
95228,Some of the WASSCE candidates who wrote a paper today said their teachers who invigilated them were so strict on them.,Hɔn a wɔkyerɛw WASSCE nsɔhwɛ no bi ndɛ se hɔn akyerɛkyerɛfo a wɔhwɛɛ hɔn do no gyina hɔn do dodow.,
74145,"He lived a carefree childhood, spent in the village, in the bush, and on the nearby sea.","Ɔtsenaa wɔ mbafobermu a nna biribiara nhaw no, na ɔdze tsenaa ekuraase, haban mu, na po a ɔbɛn hɔ no do.",
73851,A two-person team is to patrol the village every morning.,Nyimpa beenu na otwar dɛ wɔnantsew bɔ mu hwɛ ekuraase no do anapa biara.,
75325,The district officials have laid a strategic plan to improve social services in the area and has embarked on the establishment of new infrastructures.,Mpanyimfo wɔda mansin no ano no dze nhyehyɛɛ ahorow egu kwan do a ɔdze mpontu bɛba hɔn dwumadzi mu na ɔasan etu anambɔr a ɔdze mpontu dwuma bɛba hɔn mpesua no do,
75441,The girl informed the brother who was responsible for the pregnancy.,Basiaba no kaa kyerɛɛ no nua banyin no nyimpa ɔnye no nyinsen no,
75903,"The youth livelihood program targeted poor and unemployed youth, aiming to uplift their economic situations.",Mbaabun sikasɛm asetsena nhyehyɛɛ hwɛ dɛ ɔbɔboa mbaabun a wɔwɔ hia mu na hɔn a wɔnnyɛ edwuma no dɛ ɔbɛma sikasɛm abrabɔ akɔ sor.,
96211,"This shocked her so much that she even considered taking her life, as she couldn’t see any way she could support herself with that little money each month.","Iyi tɔɔ no do araa ma ɔyɛɛ n'adwen dɛ oboku noho, osiandɛ nna onnhu kwan biara ɔbɛfa do dze dɛm sika kakraabi no ahwɛ noho.",
74237,It's quite hard to mix with people of different cultural beliefs.,Ɔyɛ dzen yie dɛ wo na nyimpa horow pii a hɔn amambra mu gyedzi afora.,
74020,border districts have presented the highest number of COVID-19 cases.,Wɔada Mansin a wɔda hye ano edzi dɛ hɔn na wonya nyimpa dodow a hɔn ho kae wɔ Covid-19 no mu.,
74703,People have acquired knowledge on how to protect themselves from this disease.,Nkorɔfo enya nyimdzee wɔ kwan a wɔfa do wɔbɔbɔ hɔn ban efi dɛm yarba yi ho.,
75107,The additional classrooms shall accommodate the increasing number of children in school.,Suadan nkaa no wɔdze bɔhwɛ mbofra a hɔn dodow rodɔr wɔ skuul no mu no.,
96296,"If it is diagnosed and if it is caused by a sexually transmitted disease, the doctor will give you antibiotics and a variety of vaccines to clean the area, so that you can drink it to kill the germs.","Wɔhwehwɛ mu na wohu dɛ mpa mu nkitahodzi na ɔdze bae a, Datsernyi no bɛma wo edur a ɔko mbowaba nketsenketse na ndur asorɔtow ma edze esiesie bea no, na etum anom ekum mbowaba no.",
75110,The Adowa dance is a sign of expression that allows performers to communicate their emotions and feelings through their hands and feet.,Adzewa asaw no yɛ nsɛnkyerɛdze a ɔma agofomba da hɔn atsenka na atsenka edzi a wɔnam hɔn nsa na nan do.,
75178,The church has used ex-communication to deter Christians from their land agitations.,Asɔr no dze nkɔmbɔ dadaw dze esianka Kristosomfo efi hɔn asaase aperaper no ho.,
74862,Several technologies have been created to allow teachers reach out to each other and get in touch with their students easily,"Abaɛfor mfir ahorow na wɔayɛ dɛ ɔmma akyerɛkyerɛfo kwan ma wɔnye hɔn 
esuafo na obiara ndzi nkitaho a wɔnnkɛberɛ ho.",
95981,"Peppers on the same plant ripen at various times; however, in time, even the last pepper on the plant will be ripe.",Muoko a ɔwɔ asaase yi do nyinara mber wɔ mber pii mu mbom muoko mpo oenndua no ntsɛm mpo ber,
74514,Most of the people were vaccinated against the six killer diseases.,Nyimpa dodowara na wɔwɔɔ hɔn yarba esia no ho pandze.,
76095,"To prevent eviction from your land, you need to have documents to prove your ownership.","Sɛ emmpɛ dɛ wotu wo fi w'asaase do a, otwar dɛ inya nkrataa dze ma odzi dase dɛ wodze a.",
95373,"These show that, every Akan belong to a family.","Iyi kyerɛ dɛ, Akannyi biara dɔm ebusua.",
75895,"The workers are not satisfied with the working conditions, leading to discontentment.",Edwumayɛfo no ahom nnka edwuma no ho nhyehyɛɛ no ho ntsi hɔn enyi annsɔ.,
